role,index,can_id_hex,origin
macro,12,0x260,real
macro,13,0x2A0,real
macro,14,0x2B0,real
macro,15,0x2C0,real
macro,16,0x316,real
macro,17,0x329,real
macro,18,0x350,real
macro,19,0x370,real
macro,20,0x430,real
macro,21,0x43F,real
macro,22,0x440,real
macro,23,0x4B1,real
macro,24,0x4F0,real
macro,25,0x545,real
macro,26,0x5A0,real
macro,27,0x5A2,real
macro,28,0x5F0,real
macro,29,0x690,real
macro,30,0x537,synth
macro,31,0x0E8,synth
macro,32,0x035,synth
macro,33,0x60C,synth
macro,34,0x23F,synth
macro,35,0x201,synth
macro,36,0x1D4,synth
macro,37,0x121,synth
macro,38,0x602,synth
macro,39,0x0D5,synth
macro,40,0x584,synth
macro,41,0x60A,synth
macro,42,0x742,synth
macro,43,0x474,synth
macro,44,0x0B6,synth
macro,45,0x4D2,synth
macro,46,0x375,synth
macro,47,0x043,synth
macro,48,0x03F,synth
macro,49,0x0C3,synth
macro,50,0x1CA,synth
macro,51,0x1E7,synth
macro,52,0x41F,synth
macro,53,0x4E9,synth
macro,54,0x038,synth
macro,55,0x495,synth
macro,56,0x1A2,synth
macro,57,0x5D7,synth
macro,58,0x54D,synth
macro,59,0x5B9,synth
macro,60,0x36F,synth
macro,61,0x1CE,synth
macro,62,0x3AC,synth
macro,63,0x4CF,synth
macro,64,0x246,synth
macro,65,0x698,synth
macro,66,0x713,synth
macro,67,0x00F,synth
macro,68,0x630,synth
macro,69,0x691,synth
macro,70,0x14D,synth
macro,71,0x5B2,synth
macro,72,0x376,synth
macro,73,0x2C9,synth
macro,74,0x145,synth
macro,75,0x1C3,synth
macro,76,0x7C7,synth
macro,77,0x639,synth
macro,78,0x2C2,synth
macro,79,0x0C1,synth
macro,80,0x31C,synth
macro,81,0x0CA,synth
macro,82,0x2F0,synth
macro,83,0x6E6,synth
macro,84,0x2D1,synth
macro,85,0x4ED,synth
macro,86,0x229,synth
macro,87,0x693,synth
macro,88,0x05A,synth
macro,89,0x5F4,synth
macro,90,0x3C1,synth
macro,91,0x462,synth
macro,92,0x103,synth
macro,93,0x7E7,synth
macro,94,0x77F,synth
macro,95,0x319,synth
macro,96,0x0A5,synth
macro,97,0x482,synth
macro,98,0x266,synth
macro,99,0x6C1,synth
macro,100,0x521,synth
macro,101,0x50C,synth
macro,102,0x734,synth
macro,103,0x703,synth
macro,104,0x2F5,synth
macro,105,0x4B7,synth
macro,106,0x193,synth
macro,107,0x5BF,synth
macro,108,0x090,synth
macro,109,0x05F,synth
macro,110,0x565,synth
macro,111,0x1DD,synth
macro,112,0x64D,synth
macro,113,0x25D,synth
macro,114,0x0A7,synth
macro,115,0x6F6,synth
macro,116,0x70D,synth
macro,117,0x0D2,synth
macro,118,0x3B5,synth
macro,119,0x52F,synth
macro,120,0x6CB,synth
macro,121,0x2FC,synth
macro,122,0x155,synth
macro,123,0x307,synth
macro,124,0x2E8,synth
macro,125,0x1B8,synth
macro,126,0x577,synth
macro,127,0x22E,synth
macro,128,0x5BA,synth
macro,129,0x79D,synth
macro,130,0x592,synth
macro,131,0x54A,synth
macro,132,0x094,synth
macro,133,0x4F9,synth
macro,134,0x52E,synth
macro,135,0x166,synth
macro,136,0x45D,synth
macro,137,0x5F3,synth
macro,138,0x156,synth
macro,139,0x3C7,synth
macro,140,0x31B,synth
macro,141,0x234,synth
macro,142,0x786,synth
macro,143,0x538,synth
macro,144,0x59C,synth
macro,145,0x48C,synth
macro,146,0x1CC,synth
macro,147,0x595,synth
macro,148,0x2A7,synth
macro,149,0x6DD,synth
macro,150,0x643,synth
macro,151,0x653,synth
macro,152,0x074,synth
macro,153,0x1E0,synth
macro,154,0x6B2,synth
macro,155,0x68E,synth
macro,156,0x294,synth
macro,157,0x348,synth
macro,158,0x230,synth
macro,159,0x089,synth
macro,160,0x1BB,synth
macro,161,0x76D,synth
macro,162,0x7AA,synth
macro,163,0x4A1,synth
macro,164,0x721,synth
macro,165,0x5DB,synth
macro,166,0x292,synth
macro,167,0x1BE,synth
macro,168,0x559,synth
macro,169,0x413,synth
macro,170,0x33D,synth
macro,171,0x732,synth
macro,172,0x76F,synth
macro,173,0x53E,synth
macro,174,0x3C0,synth
macro,175,0x128,synth
macro,176,0x22A,synth
macro,177,0x205,synth
macro,178,0x613,synth
macro,179,0x467,synth
macro,180,0x226,synth
macro,181,0x617,synth
macro,182,0x4C6,synth
macro,183,0x382,synth
macro,184,0x74D,synth
macro,185,0x4C4,synth
macro,186,0x344,synth
macro,187,0x2F6,synth
macro,188,0x11F,synth
macro,189,0x428,synth
macro,190,0x407,synth
macro,191,0x0BE,synth
macro,192,0x629,synth
macro,193,0x062,synth
macro,194,0x702,synth
macro,195,0x0E4,synth
macro,196,0x13F,synth
macro,197,0x51F,synth
macro,198,0x14E,synth
macro,199,0x674,synth
macro,200,0x58C,synth
macro,201,0x4DE,synth
macro,202,0x084,synth
macro,203,0x326,synth
macro,204,0x31F,synth
macro,205,0x4DD,synth
macro,206,0x3D3,synth
macro,207,0x453,synth
macro,208,0x20E,synth
macro,209,0x7E3,synth
macro,210,0x485,synth
macro,211,0x701,synth
macro,212,0x7A9,synth
macro,213,0x019,synth
macro,214,0x5E1,synth
macro,215,0x0EE,synth
macro,216,0x58F,synth
macro,217,0x733,synth
macro,218,0x463,synth
macro,219,0x61F,synth
macro,220,0x644,synth
macro,221,0x53A,synth
macro,222,0x267,synth
macro,223,0x38F,synth
macro,224,0x14A,synth
macro,225,0x3B6,synth
macro,226,0x008,synth
macro,227,0x7C0,synth
macro,228,0x5E3,synth
macro,229,0x720,synth
macro,230,0x5DE,synth
macro,231,0x227,synth
macro,232,0x7E5,synth
macro,233,0x416,synth
macro,234,0x636,synth
macro,235,0x175,synth
macro,236,0x424,synth
macro,237,0x76C,synth
macro,238,0x0DD,synth
macro,239,0x715,synth
macro,240,0x51A,synth
macro,241,0x271,synth
macro,242,0x6DA,synth
macro,243,0x536,synth
macro,244,0x30E,synth
macro,245,0x637,synth
macro,246,0x151,synth
macro,247,0x468,synth
macro,248,0x7BF,synth
macro,249,0x658,synth
macro,250,0x780,synth
macro,251,0x456,synth
macro,252,0x778,synth
macro,253,0x003,synth
macro,254,0x4E3,synth
macro,255,0x2A6,synth
